Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
31,2026-03-30,10:40:59,2026-03-30T10:40:59.754532,BUY CE,UP,41.1,LOW,22547.8,22600,CE,22633.0,22505.0,33.6,25.3,41.1,36.1,13.9,50.0,30.0,42.3,27.7,NO,1.04,-0.087,22500,23000,2.3,SIDEWAYS / NEUTRAL,32.3,37.0,0.241,-0.2801,0.189,BUY PE,1.0,EXPIRED,,,,0,21.3,1.0
32,2026-03-30,10:41:59,2026-03-30T10:41:59.735791,BUY PE,DOWN,38.5,LOW,22526.45,22500,PE,22442.0,22568.0,38.5,26.7,34.8,31.1,22.7,46.2,49.5,32.7,17.8,NO,1.04,-0.06,22500,23000,1.9,SIDEWAYS / NEUTRAL,30.1,36.7,1.002,-0.2739,0.187,BUY CE,2.1,EXPIRED,,,,12.7,0,2.1
33,2026-03-30,10:44:03,2026-03-30T10:44:03.962136,BUY PE,DOWN,42.9,LOW,22513.8,22450,PE,22430.0,22556.0,42.9,23.6,33.4,38.2,17.7,44.1,50.0,32.5,17.5,NO,1.03,-0.092,22500,23000,1.0,SIDEWAYS / NEUTRAL,28.1,36.7,-0.552,-0.2872,0.188,BUY PE,3.0,EXPIRED,,,,0,5.2,3.0
34,2026-03-30,10:47:04,2026-03-30T10:47:04.239858,NO TRADE,SIDEWAYS,37.6,LOW,22519.05,22500,-,22519.05078125,22519.05078125,30.4,37.6,32.0,30.3,33.3,36.4,30.5,44.0,25.5,NO,1.02,-0.014,22500,23000,1.5,SIDEWAYS / NEUTRAL,29.5,37.2,0.584,-0.2799,0.18,BUY PE,3.0,NO_TRADE,,,,,,
35,2026-03-30,10:48:00,2026-03-30T10:48:00.252730,NO TRADE,SIDEWAYS,35.9,LOW,22529.2,22550,-,22529.19921875,22529.19921875,28.9,35.9,35.3,30.2,31.0,38.8,26.8,43.2,30.0,NO,1.02,0.003,22500,23000,2.2,SIDEWAYS / NEUTRAL,31.5,37.1,1.425,-0.273,0.183,NO TRADE,0.9,NO_TRADE,,,,,,
36,2026-03-30,10:48:59,2026-03-30T10:48:59.703586,BUY PE,DOWN,38.0,LOW,22527.75,22500,PE,22446.0,22569.0,38.0,31.8,30.1,34.2,27.3,38.5,43.8,38.7,17.5,NO,1.02,0.005,22500,23000,2.9,SIDEWAYS / NEUTRAL,31.3,37.3,1.767,-0.2697,0.183,NO TRADE,2.1,EXPIRED,,,,0,9.0,2.1
37,2026-03-30,10:51:02,2026-03-30T10:51:02.125922,NO TRADE,SIDEWAYS,37.2,LOW,22536.7,22550,-,22536.69921875,22536.69921875,31.5,37.2,31.3,34.1,33.0,33.0,27.6,43.6,28.8,NO,1.01,0.029,22500,23000,3.0,SIDEWAYS / NEUTRAL,33.0,37.3,2.234,-0.2662,0.185,BUY PE,2.0,NO_TRADE,,,,,,
38,2026-03-30,10:52:03,2026-03-30T10:52:03.824086,BUY PE,DOWN,39.0,LOW,22517.8,22450,PE,22438.0,22558.0,39.0,33.1,27.9,39.4,27.0,33.6,38.4,42.2,19.4,NO,1.01,-0.026,22500,23000,2.6,SIDEWAYS / NEUTRAL,30.0,37.2,2.366,-0.2639,0.179,NO TRADE,3.1,EXPIRED,,,,25.1,0,3.1
39,2026-03-30,10:55:11,2026-03-30T10:55:11.299804,NO TRADE,DOWN,34.3,LOW,22492.7,22500,-,22492.69921875,22492.69921875,34.3,32.7,33.0,30.2,27.3,42.5,40.5,40.8,18.7,NO,1.02,-0.085,22500,23000,0.3,SIDEWAYS / NEUTRAL,27.9,37.9,-0.129,-0.2848,0.184,BUY PE,3.1,NO_TRADE,,,,,,
40,2026-03-30,10:56:15,2026-03-30T10:56:15.518733,BUY CE,UP,36.2,LOW,22483.25,22550,CE,22563.0,22443.0,34.0,29.8,36.2,29.7,22.5,47.8,40.5,40.7,18.8,NO,1.01,-0.131,22500,23000,0.1,SIDEWAYS / NEUTRAL,27.1,38.5,-0.09,-0.2849,0.178,NO TRADE,0.9,EXPIRED,,,,30.3,0,0.9
41,2026-03-30,10:57:10,2026-03-30T10:57:10.586273,NO TRADE,UP,34.4,LOW,22513.55,22500,-,22513.55078125,22513.55078125,33.0,32.6,34.4,28.1,27.4,44.6,40.4,40.4,19.2,NO,1.01,-0.053,22500,23000,2.7,SIDEWAYS / NEUTRAL,32.3,38.6,2.94,-0.2595,0.183,BUY CE,0.9,NO_TRADE,,,,,,
42,2026-03-30,11:00:02,2026-03-30T11:00:02.415215,BUY PE,DOWN,38.9,LOW,22491.35,22450,PE,22406.0,22534.0,38.9,34.4,26.7,31.7,35.6,32.7,49.7,32.6,17.7,NO,0.97,-0.083,22500,23000,-7.0,MILDLY BEARISH,29.6,38.6,1.314,-0.2725,0.189,NO TRADE,1.0,EXPIRED,,,,0,2.2,1.0
43,2026-03-30,11:01:00,2026-03-30T11:01:00.020993,NO TRADE,SIDEWAYS,36.2,LOW,22493.6,22500,-,22493.599609375,22493.599609375,31.1,36.2,32.6,30.9,31.4,37.7,31.5,43.5,25.0,NO,0.97,-0.077,22500,23000,-7.0,MILDLY BEARISH,28.5,38.6,0.765,-0.2779,0.185,BUY PE,1.0,NO_TRADE,,,,,,
